,host_response_rate,host_acceptance_rate,host_total_listings_count,accommodates,bathrooms,beds,price,availability_60,availability_90,availability_365,number_of_reviews_ltm,reviews_per_month
32950,Mala,Mala,Poco disponible,Abundante,Escaso,Disponible,123-142,Raro,Raro,Frecuente,Disponible,Disponible
32951,Mala,Mala,Disponible,Abundante,Poco disponible,Poco disponible,0-19,Comun,Común,Raro,Disponible,Disponible
32952,Mala,Mala,Disponible,Poco disponible,Poco disponible,Poco disponible,20-40,Comun,Común,Poco disponible,Disponible,Disponible
32953,Mala,Mala,Poco disponible,Abundante,Poco disponible,Disponible,20-40,Comun,Común,Abundante,Disponible,Disponible
32954,Mala,Mala,Disponible,Poco disponible,Poco disponible,Disponible,20-40,Comun,Común,Raro,Disponible,Disponible
32955,Mala,Mala,Poco disponible,Poco disponible,Abundante,Disponible,20-40,Comun,Común,Poco disponible,Disponible,Disponible
32956,Mala,Mala,Poco disponible,Abundante,Poco disponible,Poco disponible,20-40,Raro,Raro,Escaso,Disponible,Abundante
32957,Mala,Mala,Disponible,Poco disponible,Poco disponible,Disponible,0-19,Comun,Común,Raro,Disponible,Abundante
32958,Mala,Mala,Disponible,Poco disponible,Poco disponible,Disponible,61-81,Comun,Común,Raro,Disponible,Abundante
32959,Mala,Mala,Disponible,Abundante,Abundante,Poco disponible,143-163,Comun,Común,Raro,Disponible,Disponible
32960,Mala,Mala,Disponible,Poco disponible,Poco disponible,Disponible,164-183,Comun,Común,Raro,Disponible,Disponible
32961,Mala,Buena,Poco disponible,Abundante,Poco disponible,Disponible,41-60,Comun,Raro,Abundante,Disponible,Poco disponible
32962,Mala,Mala,Frecuente,Escaso,Abundante,Normal,82-101,Comun,Raro,Abundante,Disponible,Poco disponible
32963,Mala,Mala,Poco disponible,Abundante,Poco disponible,Poco disponible,41-60,Disponible,Poco disponible,Escaso,Disponible,Disponible
32964,Mala,Mala,Raro,Abundante,Poco disponible,Disponible,41-60,Comun,Común,Poco disponible,Disponible,Disponible
32965,Mala,Mala,Disponible,Poco disponible,Poco disponible,Disponible,20-40,Comun,Común,Escaso,Disponible,Poco disponible
32966,Mala,Mala,Poco disponible,Poco disponible,Poco disponible,Poco disponible,82-101,Comun,Común,Poco disponible,Disponible,Poco disponible
32967,Mala,Mala,Abundante,Abundante,Poco disponible,Disponible,82-101,Comun,Común,Poco disponible,Disponible,Poco disponible
32968,Mala,Mala,Abundante,Poco disponible,Poco disponible,Disponible,41-60,Frecuente,Raro,Frecuente,Disponible,Poco disponible
32969,Mala,Mala,Disponible,Disponible,Abundante,Disponible,20-40,Comun,Común,Raro,Disponible,Poco disponible
32970,Mala,Mala,Poco disponible,Abundante,Poco disponible,Disponible,41-60,Disponible,Poco disponible,Escaso,Disponible,Poco disponible
32971,Mala,Mala,Abundante,Poco disponible,Poco disponible,Poco disponible,82-101,Disponible,Disponible,Disponible,Disponible,Poco disponible
32972,Mala,Mala,Poco disponible,Abundante,Poco disponible,Poco disponible,41-60,Comun,Común,Raro,Disponible,Escaso
32973,Mala,Mala,Poco disponible,Poco disponible,Poco disponible,Disponible,20-40,Comun,Común,Raro,Disponible,Escaso
32974,Mala,Mala,Poco disponible,Poco disponible,Poco disponible,Disponible,20-40,Comun,Común,Abundante,Disponible,Escaso
32975,Mala,Mala,Poco disponible,Poco disponible,Escaso,Disponible,20-40,Comun,Común,Raro,Disponible,Escaso
32976,Mala,Mala,Abundante,Abundante,Poco disponible,Disponible,0-19,Raro,Raro,Común,Disponible,Abundante
32977,Mala,Mala,Disponible,Abundante,Poco disponible,Poco disponible,20-40,Comun,Común,Común,Disponible,Disponible
32978,Mala,Mala,Disponible,Poco disponible,Poco disponible,Disponible,41-60,Comun,Común,Raro,Disponible,Disponible
32979,Mala,Mala,Frecuente,Poco disponible,Poco disponible,Disponible,20-40,Comun,Común,Poco disponible,Abundante,Poco disponible
32980,Mala,Mala,Poco disponible,Abundante,Poco disponible,Disponible,123-142,Disponible,Poco disponible,Poco disponible,Disponible,Poco disponible
32981,Mala,Mala,Disponible,Poco disponible,Poco disponible,Disponible,20-40,Comun,Común,Poco disponible,Disponible,Abundante
32982,Mala,Mala,Disponible,Abundante,Poco disponible,Disponible,20-40,Comun,Frecuente,Frecuente,Disponible,Abundante
32983,Mala,Mala,Poco disponible,Abundante,Poco disponible,Poco disponible,20-40,Comun,Común,Frecuente,Poco disponible,Frecuente
32984,Mala,Mala,Disponible,Poco disponible,Abundante,Disponible,41-60,Comun,Común,Poco disponible,Disponible,Poco disponible
32985,Mala,Mala,Poco disponible,Poco disponible,Poco disponible,Disponible,61-81,Comun,Común,Raro,Disponible,Poco disponible
32986,Mala,Mala,Disponible,Abundante,Poco disponible,Disponible,0-19,Comun,Común,Común,Disponible,Escaso
32987,Mala,Mala,Abundante,Abundante,Poco disponible,Disponible,20-40,Raro,Frecuente,Escaso,Abundante,Poco disponible
32988,Mala,Mala,Disponible,Abundante,Poco disponible,Disponible,20-40,Raro,Raro,Frecuente,Disponible,Poco disponible
32989,Mala,Mala,Poco disponible,Abundante,Poco disponible,Poco disponible,102-122,Comun,Común,Poco disponible,Disponible,Poco disponible
32990,Mala,Mala,Disponible,Poco disponible,Poco disponible,Disponible,82-101,Comun,Común,Común,Disponible,Poco disponible
32991,Mala,Mala,Disponible,Poco disponible,Poco disponible,Disponible,0-19,Raro,Raro,Frecuente,Disponible,Escaso
32992,Mala,Mala,Disponible,Escaso,Abundante,Abundante,143-163,Comun,Común,Frecuente,Disponible,Poco disponible
32993,Mala,Mala,Poco disponible,Poco disponible,Poco disponible,Abundante,20-40,Comun,Común,Raro,Disponible,Poco disponible
32994,Mala,Mala,Disponible,Poco disponible,Poco disponible,Disponible,41-60,Raro,Frecuente,Poco disponible,Poco disponible,Frecuente
32995,Mala,Mala,Disponible,Poco disponible,Poco disponible,Disponible,0-19,Comun,Común,Frecuente,Disponible,Poco disponible
32996,Mala,Mala,Poco disponible,Abundante,Poco disponible,Poco disponible,41-60,Abundante,Abundante,Raro,Disponible,Escaso
32997,Mala,Mala,Disponible,Abundante,Poco disponible,Disponible,20-40,Raro,Frecuente,Frecuente,Disponible,Abundante
32998,Mala,Buena,Disponible,Poco disponible,Disponible,Disponible,20-40,Disponible,Disponible,Disponible,Disponible,Poco disponible
32999,Mala,Mala,Poco disponible,Abundante,Poco disponible,Poco disponible,82-101,Comun,Común,Común,Disponible,Poco disponible
33000,Mala,Mala,Poco disponible,Poco disponible,Disponible,Disponible,20-40,Comun,Común,Raro,Disponible,Poco disponible
33001,Mala,Mala,Disponible,Poco disponible,Abundante,Disponible,61-81,Comun,Común,Raro,Disponible,Poco disponible
33002,Mala,Mala,Poco disponible,Poco disponible,Poco disponible,Disponible,82-101,Comun,Común,Raro,Disponible,Poco disponible
