,host_name,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,property_type,room_type,price,has_availability,instant_bookable,id,host_id,host_listings_count,host_total_listings_count,latitude,longitude,accommodates,bedrooms,beds,minimum_nights,maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,reviews_per_month
3010,Alberto,2018-01-14,"Málaga, Spain",within an hour,100%,99%,t,La Victoria,"['email', 'phone', 'work_email']",t,t,"Málaga, Andalucía, Spain",Centro,Entire vacation home,Entire home/apt,$175.00,t,t,716527483258657904,167730931,6.0,7.0,36.72038,-4.42311,4.0,1.0,2.0,3.0,60,1125,3.6,979.9,1,1,3,211,7.0,4.0,4.86,4.71,4.71,4.86,4.86,4.71,4.57,6.0,0.34
3011,Andrea,2016-05-10,"Málaga, Spain",within an hour,100%,100%,t,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$222.00,t,t,1018293780764314513,71255240,60.0,65.0,36.723889496785,-4.416250844072,6.0,3.0,3.0,1.0,1125,1125,3.3,1125.0,10,28,56,147,31.0,31.0,4.81,4.77,4.65,4.71,4.94,4.94,4.58,47.0,4.01
3012,Homingbook,2017-10-06,"Málaga, Spain",within a few hours,88%,99%,f,Marbella Hill Club,"['email', 'phone', 'work_email']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$144.00,t,f,702542011864819333,153519271,26.0,32.0,36.72368,-4.42756,4.0,2.0,3.0,1.0,1125,1125,2.0,423.6,9,33,59,243,6.0,4.0,4.5,4.67,4.67,4.67,4.67,4.67,4.17,19.0,0.29
3013,Freshlanding,2012-08-26,"Málaga, Spain",within an hour,97%,100%,f,Marbella Hill Club,"['email', 'phone', 'work_email']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$113.00,t,t,5010659,3376700,102.0,22.4,36.725,-4.41728,2.0,1.0,1.0,2.0,1125,99,2.3,99.0,18,45,75,229,74.0,5.0,4.53,4.72,4.55,4.62,4.72,4.92,4.38,10.6,0.66
3014,Cubo'S Holiday Homes.,2017-02-20,"Málaga, Spain",within an hour,94%,99%,f,Marbella Hill Club,"['email', 'phone', 'work_email']",t,t,"Málaga, Andalucía, Spain",Carretera de Cadiz,Entire rental unit,Entire home/apt,$120.00,t,t,654770564518151090,117253760,20.0,22.4,36.7,-4.43903,6.0,3.0,4.0,1.0,1125,1125,4.0,316.0,5,12,22,288,22.0,8.0,4.86,4.81,4.9,4.95,4.81,4.95,4.76,27.0,0.99
3015,Welcome,2020-01-20,"Málaga, Spain",within a few hours,93%,78%,f,Marbella Hill Club,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Private room in rental unit,Private room,$59.00,t,f,51211924,329266025,52.0,79.0,36.72589,-4.41765,3.0,1.0,3.0,1.0,365,365,1.0,365.0,18,18,18,205,39.0,0.0,4.7,4.8,4.8,4.44,4.33,4.62,4.7,49.0,1.1
3016,Ines Belvilla,2021-01-15,"Zürich, Switzerland",within an hour,100%,94%,f,Urbanización Villa Marina,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Teatinos-Universidad,Entire rental unit,Entire home/apt,$119.00,t,t,867797416760463540,384636592,87.0,22.4,36.71660795718186,-4.4,2.0,1.0,1.0,1.0,28,28,1.2,27.2,30,60,90,365,0.0,0.0,4.7,4.8,4.8,4.44,4.33,4.62,4.7,4.0,1.1
3017,Rafa,2017-04-13,"Málaga, Spain",within an hour,100%,100%,f,Urbanización Villa Marina,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Teatinos-Universidad,Entire chalet,Entire home/apt,$152.00,t,t,32787568,125686093,1.0,1.0,36.7221,-4.4,7.0,1.5,6.0,3.0,1125,1125,3.0,1125.0,8,14,14,99,2.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,0.03
3018,Marina,2015-06-29,"Málaga, Spain",within an hour,100%,100%,f,Urbanización Villa Marina,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$181.00,t,t,8960199,37079448,1.0,3.0,36.731,-4.42411,2.0,2.0,2.0,5.0,1125,1125,5.0,1125.0,1,31,61,276,60.0,5.0,4.85,4.92,4.93,5.0,4.98,4.6,4.74,1.0,0.61
3019,Rosa,2019-07-05,"Málaga, Spain",within an hour,100%,67%,f,Urbanización Villa Marina,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Teatinos-Universidad,Entire guesthouse,Entire home/apt,$166.00,t,f,36409984,273755199,1.0,6.0,36.72135,-4.4,6.0,3.0,4.0,3.0,44,44,2.9,44.0,24,45,45,115,21.0,10.0,4.52,4.48,4.76,4.67,4.52,4.43,4.62,1.0,0.35
3020,Blanca,2017-12-05,"Andalusia, Spain",within an hour,100%,99%,t,Urbanización Villa Marina,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Cruz De Humilladero,Private room in casa particular,Private room,$40.00,t,f,49918484,161445081,3.0,3.0,36.71452,-4.43559,2.0,1.0,1.0,2.0,1125,1125,2.0,1125.0,8,20,43,43,22.5,9.1,4.87,4.95,4.89,4.9,4.85,4.73,4.84,2.0,1.3
3021,Dani,2017-05-29,"Málaga, Spain",within an hour,100%,99%,f,Urbanización Villa Marina,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Cruz De Humilladero,Private room in rental unit,Private room,$44.00,t,t,24860219,132464123,7.0,8.0,36.71229,-4.4365,2.0,1.0,1.0,3.0,30,1125,3.0,1125.0,0,26,56,135,89.0,35.0,4.58,4.58,4.46,4.87,4.88,4.46,4.46,6.0,1.19
3022,Málaga De Vacaciones,2012-08-18,"Málaga, Spain",within an hour,97%,99%,f,Urbanización Villa Marina,"['email', 'phone', 'work_email']",t,t,"Málaga, Andalucía, Spain",Este,Entire rental unit,Entire home/apt,$97.00,t,t,7515329,3298879,49.0,56.0,36.72151,-4.4,2.0,0.0,2.0,1.0,1125,1125,2.7,630.2,24,54,84,179,23.0,3.0,4.65,4.65,4.43,4.81,4.68,4.52,4.29,39.0,0.21
3023,Freshlanding,2012-08-26,"Málaga, Spain",within an hour,97%,100%,f,Urbanización Villa Marina,"['email', 'phone', 'work_email']",t,t,"Málaga, Andalucía, Spain",Este,Entire serviced apartment,Entire home/apt,$172.00,t,t,1050134164195342253,3376700,102.0,22.4,36.7222112,-4.4,4.0,2.0,3.0,1.0,365,99,2.3,99.0,27,57,87,237,9.0,9.0,4.67,4.44,4.89,4.33,4.78,4.67,4.44,10.6,1.81
3024,Malaga,2014-11-03,"Andalusia, Spain",within an hour,100%,98%,f,Urbanización Villa Marina,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Este,Entire rental unit,Entire home/apt,$126.00,t,t,1094827406552808092,23300642,25.0,42.0,36.7218951104977,-4.4,4.0,1.0,1.0,1.0,365,999,1.9,999.0,5,12,32,295,4.0,4.0,4.75,4.75,4.75,4.75,5.0,4.5,4.75,25.0,0.99
3025,Juan Jose,2022-07-23,"Málaga, Spain",within an hour,100%,99%,t,Urbanización Villa Marina,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Carretera de Cadiz,Entire rental unit,Entire home/apt,$113.00,t,t,677439538188263141,471113030,2.0,2.0,36.70792052763284,-4.435147551743507,8.0,2.0,6.0,1.0,1125,1125,1.5,1125.0,16,26,49,112,22.5,9.1,4.88,4.91,4.92,4.95,4.98,4.66,4.83,2.0,1.3
3026,Juan Jose,2022-07-23,"Málaga, Spain",within an hour,100%,99%,t,Urbanización Villa Marina,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Carretera de Cadiz,Entire townhouse,Entire home/apt,$136.00,t,t,1163794899122551422,471113030,2.0,2.0,36.70828367180622,-4.435121119022369,8.0,2.0,2.3,1.0,365,1125,4.0,1125.0,14,23,49,111,12.0,12.0,5.0,5.0,5.0,5.0,5.0,4.83,4.92,2.0,1.3
3027,Aloha,2022-08-04,"Andalusia, Spain",within an hour,100%,100%,f,Urbanización Villa Marina,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Este,Entire rental unit,Entire home/apt,$140.00,t,t,956639088365213372,473317644,17.0,20.0,36.71998767636089,-4.4,4.0,2.0,3.0,1.0,365,1125,4.1,1125.0,24,44,74,349,2.0,2.0,5.0,4.5,4.5,5.0,5.0,5.0,5.0,3.0,0.24
3028,Málaga De Vacaciones,2012-08-18,"Málaga, Spain",within an hour,97%,99%,f,Urbanización Villa Marina,"['email', 'phone', 'work_email']",t,t,"Málaga, Spain",Este,Entire rental unit,Entire home/apt,$149.00,t,t,36494590,3298879,49.0,56.0,36.72395,-4.4,8.0,3.0,6.0,1.0,1125,1125,2.2,751.4,13,19,49,130,11.0,6.0,4.73,4.64,4.73,4.91,4.82,4.91,4.27,39.0,0.18
