,host_response_rate,review_scores_cleanliness,price,number_of_reviews,number_of_reviews,review_scores_communication
235,0.96,4.91,276.0,0.0,0.0,4.91
236,0.98,4.93,217.0,10.0,10.0,4.93
237,1.0,4.76,600.0,49.0,49.0,4.86
238,1.0,5.0,663.0,1.0,1.0,5.0
239,0.96,5.0,823.0,0.0,0.0,5.0
240,1.0,4.74,157.0,10.0,10.0,4.86
241,1.0,5.0,600.0,27.0,27.0,4.96
242,1.0,4.94,750.0,32.0,32.0,5.0
243,1.0,5.0,230.0,1.0,1.0,5.0
244,1.0,5.0,840.0,8.0,8.0,5.0
245,1.0,4.94,116.0,10.0,10.0,4.96
246,1.0,4.71,300.0,21.0,21.0,4.76
247,1.0,4.76,140.0,10.0,10.0,4.9
248,1.0,4.62,293.0,45.0,45.0,5.0
249,1.0,4.28,886.0,33.0,33.0,5.0
250,1.0,4.48,409.0,10.0,10.0,5.0
251,1.0,4.79,1008.0,24.0,24.0,4.96
252,1.0,4.72,162.0,40.0,40.0,4.82
253,1.0,4.77,617.0,10.0,10.0,4.92
254,1.0,4.9,147.0,12.0,12.0,5.0
255,1.0,4.9,250.0,31.0,31.0,4.94
256,0.96,4.9,442.0,0.0,0.0,4.94
257,1.0,4.6,245.0,5.0,5.0,5.0
258,1.0,4.73,94.0,10.0,10.0,4.87
259,0.9,4.83,93.0,10.0,10.0,4.88
260,1.0,4.84,250.0,10.0,10.0,5.0
261,1.0,4.65,342.0,10.0,10.0,5.0
262,1.0,4.91,550.0,35.0,35.0,4.97
263,1.0,4.78,273.0,10.0,10.0,4.94
264,0.94,4.9,147.0,10.0,10.0,4.89
265,1.0,4.8,250.0,10.0,10.0,4.94
266,1.0,4.9,150.0,12.0,12.0,5.0
267,1.0,4.35,216.0,10.0,10.0,4.91
268,1.0,4.95,811.0,10.0,10.0,4.99
269,1.0,5.0,356.9,2.0,2.0,5.0
270,1.0,4.88,356.9,8.0,8.0,5.0
271,0.96,4.75,387.0,12.0,12.0,4.83
272,1.0,4.52,323.0,10.0,10.0,4.86
273,0.93,4.5,75.0,10.0,10.0,4.87
274,1.0,4.85,300.0,28.0,28.0,5.0
275,1.0,4.7,444.0,54.0,54.0,4.85
276,1.0,4.85,631.0,10.0,10.0,4.92
277,1.0,4.65,187.0,10.0,10.0,4.9
278,1.0,4.49,103.0,10.0,10.0,4.97
279,1.0,4.57,196.0,30.0,30.0,4.77
280,1.0,4.54,149.0,50.0,50.0,4.74
281,1.0,4.93,206.0,10.0,10.0,4.94
282,1.0,5.0,206.0,1.0,1.0,5.0
283,1.0,4.86,206.0,10.0,10.0,4.97
284,1.0,4.76,687.0,10.0,10.0,4.88
285,1.0,4.84,497.0,10.0,10.0,4.97
286,1.0,4.84,356.9,0.0,0.0,4.97
287,1.0,5.0,356.9,17.0,17.0,4.88
288,1.0,4.89,356.9,10.0,10.0,4.94
289,1.0,4.87,449.0,10.0,10.0,4.96
290,0.98,4.77,436.0,10.0,10.0,4.87
291,0.89,4.29,249.0,10.0,10.0,5.0
292,0.98,4.68,426.0,10.0,10.0,4.88
293,1.0,4.9,151.0,10.0,10.0,5.0
